categorie,pret,model,an_fabricatie,garantie,producator,taraProvenienta,stoc,argumente_specifice->
Memorie,429.99,Vengeance_RGB,2022,36,Corsair,Philipine,4,DDR4,32,3200
Memorie,207.99,FURY_Beast,2023,24,Kingston,China,8,DDR4,16,2666
Memorie,767.99,FURY_CL32_DIMM_Rendegade_RGB,2024,60,Kingston,China,6,DDR5,32,6000
Memorie,679.99,LANCER_RGB_CL40,2024,60,Adata,China,10,DDR5,32,6000
Memorie,1835.35,Dominator_Dual channel_CL32,2024,60,Corsair,Philipine,2,DDR5,64,6400
PlacaBaza,6497.89,Z490_AORUS_XTREME_WF,2023,60,Gigabyte,Taiwan,2,Soket1200,Intel_Z490,E-ATX,DDR4
PlacaBaza,543.44,B550M_AORUS_ELITE,2023,36,Gigabyte,Taiwan,3,AM4,AMD_B550,Micro-ATX,DDR4
PlacaBaza,2300,ROG_STRIX_X670E-F_GAMING-WIFI,2024,60,Asus,China,4,AM5,AMD_X670,ATX,DDR5
PlacaBaza,1029.99,PRO_Z790-S_WIFI,2023,36,MSI,China,2,Soket1700,Intel_Z790,ATX,DDR5
PlacaBaza,2134.06,Z790_TAICHI_LITE,2024,36,Asrock,China,3,Soket1700,Intel_Z790,ATX,DDR5
PlacaVideo,14000,TUF_GAMING_GeForce_RTX3080Ti,2024,60,Asus,China,1,nVidia,12,GDDR6X,19000
PlacaVideo,2549.99,GeForce_RTX4060Ti_AERO_OC,2024,60,Gigabyte,Taiwan,3,nVidia,16,GDDR6,2595
PlacaVideo,600,RX580_2048SP,2022,36,AMD,China,2,AMD,8,GDDR5,1750
PlacaVideo,1549.99,Radeon_RX7600_DUAL_OC,2023,60,AMD,China,3,AMD,8,GDDR6,2715
PlacaVideo,4299.99,GeForce_RTX4070Ti_X3,2024,60,INNO3D,Philipine,2,nVidia,12,GDDR6X,2610
Procesor,4158.39,Core_i9-13900KS_Raptor_Lake,2023,60,Intel,USA,2,Soket1700,3,24,36
Procesor,629.99,Core_i3-12100_Alder_Lake,2023,60,Intel,USA,15,Soket1700,3,4,12
Procesor,1699.99,Core_i5-13600K_Raptor_Lake,2023,60,Intel,USA,12,Soket1700,3,14,24
Procesor,1089.99,Ryzen7-5800X,2022,36,AMD,USA,5,Soket-AM4,4,8,36
Procesor,3635.99,Ryzen9-7950X3D,2024,60,AMD,USA,3,Soket-AM5,4,16,144
Stocare,5499,MP600_PRO_XT,2024,36,Corsair,USA,6,PCIe_M.2,SSD,8000,7000
Stocare,4642.41,T700-2280_PCIe5.0,2023,36,Crucial,China,4,PCIe_M.2,SSD,4000,12400
Stocare,3182.42,MZ-7L33T800_PM893,2022,24,Samsung,Taiwan,8,SATAIII,SSD,4000,550
Stocare,307.99,A400,2022,24,Kingston,China,16,SATAIII,SSD,960,500
Stocare,499.99,BarraCuda_5400rpm,2023,60,Seagate,USA,12,SATAIII,HDD,4000,300
